codigo,tipo_punto_acceso,capex_extra,opex_extra_anual
639,armario_calle,5000.0,0.0
640,armario_calle,5000.0,0.0
641,armario_calle,5000.0,0.0
642,armario_calle,5000.0,0.0
643,armario_calle,5000.0,0.0
644,armario_calle,5000.0,0.0
645,armario_calle,5000.0,0.0
646,armario_calle,5000.0,0.0
647,armario_calle,5000.0,0.0
648,armario_calle,5000.0,0.0
649,armario_calle,5000.0,0.0
650,armario_calle,5000.0,0.0
651,armario_calle,5000.0,0.0
652,armario_calle,5000.0,0.0
653,armario_calle,5000.0,0.0
654,armario_calle,5000.0,0.0
655,armario_calle,5000.0,0.0
656,armario_calle,5000.0,0.0
657,armario_calle,5000.0,0.0
658,armario_calle,5000.0,0.0
659,armario_calle,5000.0,0.0
660,armario_calle,5000.0,0.0
661,armario_calle,5000.0,0.0
662,armario_calle,5000.0,0.0
663,armario_calle,5000.0,0.0
664,armario_calle,5000.0,0.0
665,armario_calle,5000.0,0.0
666,armario_calle,5000.0,0.0
667,armario_calle,5000.0,0.0
668,armario_calle,5000.0,0.0
669,armario_calle,5000.0,0.0
670,armario_calle,5000.0,0.0
671,armario_calle,5000.0,0.0
672,armario_calle,5000.0,0.0
673,armario_calle,5000.0,0.0
674,armario_calle,5000.0,0.0
675,armario_calle,5000.0,0.0
676,armario_calle,5000.0,0.0
677,armario_calle,5000.0,0.0
678,armario_calle,5000.0,0.0
679,armario_calle,5000.0,0.0
680,armario_calle,5000.0,0.0
681,armario_calle,5000.0,0.0
682,armario_calle,5000.0,0.0
683,armario_calle,5000.0,0.0
684,armario_calle,5000.0,0.0
685,armario_calle,5000.0,0.0
686,armario_calle,5000.0,0.0
687,armario_calle,5000.0,0.0
688,armario_calle,5000.0,0.0
689,armario_calle,5000.0,0.0
690,armario_calle,5000.0,0.0
691,armario_calle,5000.0,0.0
692,armario_calle,5000.0,0.0
693,armario_calle,5000.0,0.0
694,armario_calle,5000.0,0.0
695,armario_calle,5000.0,0.0
696,armario_calle,5000.0,0.0
697,armario_calle,5000.0,0.0
698,armario_calle,5000.0,0.0
699,armario_calle,5000.0,0.0
700,armario_calle,5000.0,0.0
701,armario_calle,5000.0,0.0
702,armario_calle,5000.0,0.0
703,armario_calle,5000.0,0.0
704,armario_calle,5000.0,0.0
705,armario_calle,5000.0,0.0
706,armario_calle,5000.0,0.0
707,armario_calle,5000.0,0.0
708,armario_calle,5000.0,0.0
709,armario_calle,5000.0,0.0
710,armario_calle,5000.0,0.0
711,armario_calle,5000.0,0.0
712,armario_calle,5000.0,0.0
713,armario_calle,5000.0,0.0
714,armario_calle,5000.0,0.0
715,armario_calle,5000.0,0.0
716,armario_calle,5000.0,0.0
717,armario_calle,5000.0,0.0
718,armario_calle,5000.0,0.0
719,armario_calle,5000.0,0.0
720,armario_calle,5000.0,0.0
721,armario_calle,5000.0,0.0
722,armario_calle,5000.0,0.0
723,armario_calle,5000.0,0.0
724,armario_calle,5000.0,0.0
725,armario_calle,5000.0,0.0
726,armario_calle,5000.0,0.0
727,armario_calle,5000.0,0.0
728,armario_calle,5000.0,0.0
729,armario_calle,5000.0,0.0
730,armario_calle,5000.0,0.0
731,armario_calle,5000.0,0.0
732,armario_calle,5000.0,0.0
733,armario_calle,5000.0,0.0
734,armario_calle,5000.0,0.0
735,armario_calle,5000.0,0.0
736,armario_calle,5000.0,0.0
737,armario_calle,5000.0,0.0
738,armario_calle,5000.0,0.0
739,armario_calle,5000.0,0.0
740,armario_calle,5000.0,0.0
741,armario_calle,5000.0,0.0
742,armario_calle,5000.0,0.0
743,armario_calle,5000.0,0.0
744,armario_calle,5000.0,0.0
745,armario_calle,5000.0,0.0
746,armario_calle,5000.0,0.0
747,armario_calle,5000.0,0.0
748,armario_calle,5000.0,0.0
749,armario_calle,5000.0,0.0
750,armario_calle,5000.0,0.0
751,armario_calle,5000.0,0.0
752,armario_calle,5000.0,0.0
753,armario_calle,5000.0,0.0
754,armario_calle,5000.0,0.0
755,armario_calle,5000.0,0.0
756,armario_calle,5000.0,0.0
757,armario_calle,5000.0,0.0
758,armario_calle,5000.0,0.0
759,armario_calle,5000.0,0.0
760,armario_calle,5000.0,0.0
761,armario_calle,5000.0,0.0
762,armario_calle,5000.0,0.0
763,armario_calle,5000.0,0.0
764,armario_calle,5000.0,0.0
765,armario_calle,5000.0,0.0
766,armario_calle,5000.0,0.0
767,armario_calle,5000.0,0.0
768,armario_calle,5000.0,0.0
769,armario_calle,5000.0,0.0
770,armario_calle,5000.0,0.0
771,armario_calle,5000.0,0.0
772,armario_calle,5000.0,0.0
773,armario_calle,5000.0,0.0
774,armario_calle,5000.0,0.0
775,armario_calle,5000.0,0.0
776,armario_calle,5000.0,0.0
